titre,prix,ville,url
"Xbox Series X, games and accessories",2500DT,Tunis,https://www.tayara.tn/item/67f3bf05ca3467b14e76a597/Jeux%20vid%C3%A9o%20et%20Consoles/Tunis/Jardins_De_Carthage/Xbox_Series_X_games_and_accessories_/
"A louer S+2 ,Cité wahat",870DT,Tunis,https://www.tayara.tn/item/67ed43a4ca3467b14e720157/Appartements/Tunis/L_Aouina/_A_louer_S2_Cit_wahat/
à Vendre un Studio a Les Dunes 🔥,Non spécifié,Sousse,https://www.tayara.tn/item/680386f4c5beda2b51ca19c0/Appartements/Sousse/Akouda/_Vendre_un_Studio_a_Les_Dunes_/
A vendre un appartement S+1 à Chotrana 1,Non spécifié,Ariana,https://www.tayara.tn/item/67f8d5b1fd1c6385be4b5b0d/Appartements/Ariana/Chotrana_1/A_vendre_un_appartement_S1_Chotrana_1/
A louer,800DT,Ben Arous,https://www.tayara.tn/item/6787e758ed6f33de58c34a2f/Appartements/Ben_Arous/Ben_Arous/A_louer/
a vendre,170000DT,Ben Arous,https://www.tayara.tn/item/67f15eb5fd1c6385be456dbe/Appartements/Ben_Arous/Mgrine/a_vendre_/
Maison inachevée à Borj Cedria,235000DT,Ben Arous,https://www.tayara.tn/item/6787b449ed6f33de58c3184f/Maisons%20et%20Villas/Ben_Arous/Borj_Cedria/Maison_inacheve_Borj_Cedria/
Terrain a vendre,159000DT,Mahdia,https://www.tayara.tn/item/6803c929c1f8f57898dc4834/Terrains%20et%20Fermes/Mahdia/Mahdia/Terrain_a_vendre_/
Terrain a vendre,205000DT,Mahdia,https://www.tayara.tn/item/6803c831c5beda2b51ca5519/Terrains%20et%20Fermes/Mahdia/Autres_Villes/Terrain_a_vendre_/
Villa et Immeuble à Vendre,Non spécifié,Tunis,https://www.tayara.tn/item/67f2ec44ca3467b14e76206c/Maisons%20et%20Villas/Tunis/Tunis/Villa_et_Immeuble_Vendre_/
à louer appartements court séjour,79DT,Tunis,https://www.tayara.tn/item/66bf551a92d9e2cb542f8858/Appartements/Tunis/L_Aouina/_louer_appartements_court_sjour_/
Un appartement S+3 meublé à cité Agba,800DT,Monastir,https://www.tayara.tn/item/68014176fd1c6385be520db1/Appartements/Monastir/Monastir/Un_appartement_S3_meubl_cit_Agba_/
Villa individuelle en location àLa Soukra,3700DT,Ariana,https://www.tayara.tn/item/67fd4ca9ca3467b14e7ea32a/Maisons%20et%20Villas/Ariana/La_Soukra/Villa_individuelle_en_location_La_Soukra_/
Triplex S+4 en Location à Chotrana 1,2600DT,Ariana,https://www.tayara.tn/item/67fd491fca3467b14e7e9f6e/Appartements/Ariana/Chotrana_1/Triplex_S4_en_Location_Chotrana_1_/
A louer S3 HS a soukra park,1600DT,Ariana,https://www.tayara.tn/item/6800bafefd1c6385be51865e/Appartements/Ariana/La_Soukra/A_louer_S3_HS_a_soukra_park/
S+2 en location,1500DT,Sousse,https://www.tayara.tn/item/678fc5ca9bffab23b80da2f3/Appartements/Sousse/Khzema/S2_en_location/
S+2 en vente,375000DT,Sousse,https://www.tayara.tn/item/6792667e9bffab23b80f5310/Appartements/Sousse/Khzema/S2_en_vente/
Villa individuelle en vente,1400000DT,Sousse,https://www.tayara.tn/item/67af762386d5f7a45c1a7140/Maisons%20et%20Villas/Sousse/Khzema/Villa_individuelle_en_vente/
S+3 en vente,385000DT,Sousse,https://www.tayara.tn/item/67ffe56ffd1c6385be5113c6/Appartements/Sousse/Khzema/S3_en_vente/
Location s0 Diar Ben Mahmoud Agba,300DT,Tunis,https://www.tayara.tn/item/67b44fc90b5f1b5530ff7ef3/Appartements/Tunis/Agba/Location_s0_Diar_Ben_Mahmoud_Agba_/
à vendre Terrain de 208 m² Diar Ben Mahmoud,225000DT,Tunis,https://www.tayara.tn/item/67ed5850ca3467b14e7217eb/Terrains%20et%20Fermes/Tunis/Agba/_vendre_Terrain_de_208_m_Diar_Ben_Mahmoud_/
3 Hectare Bio d'oliviers | Terrain Agricole Mornaguia,550000DT,La Manouba,https://www.tayara.tn/item/6803bc16c5beda2b51ca496d/Terrains%20et%20Fermes/La_Manouba/Mornaguia/3_Hectare_Bio_doliviers_Terrain_Agricole_Mornaguia/
GLE 350 de kit AMG,1234DT,Sousse,https://www.tayara.tn/item/67d4b49afd1c6385be352d4f/Voitures/Sousse/Sousse_Jawhara/GLE_350_de_kit_AMG/
Glc200 kit AMG,1234DT,Sousse,https://www.tayara.tn/item/66d8f615e2f0c13af83ca5a7/Voitures/Sousse/Sousse_Jawhara/Glc200_kit_AMG/
Appartement S+1 Meublé à Hammam Lif,780DT,Ben Arous,https://www.tayara.tn/item/67fd06daca3467b14e7e505f/Appartements/Ben_Arous/Hammam_Lif/Appartement_S1_Meubl_Hammam_Lif_/
